Packet_Number,Timestamp,Battery_V,Battery_Pct,Temp,Leads
1,2026-01-31 19:42:10,3.63,7.0,34.19,0
2,2026-01-31 19:42:10,3.63,7.0,34.19,0
3,2026-01-31 19:42:10,3.63,7.0,34.25,0
4,2026-01-31 19:42:10,3.63,7.0,34.25,0
5,2026-01-31 19:42:10,3.63,7.0,34.25,0
6,2026-01-31 19:42:10,3.63,7.0,34.25,0
7,2026-01-31 19:42:10,3.63,7.0,34.25,0
8,2026-01-31 19:42:10,3.63,7.0,34.25,0
9,2026-01-31 19:42:10,3.63,7.0,34.19,0
10,2026-01-31 19:42:10,3.63,7.0,34.19,0
11,2026-01-31 19:42:10,3.63,7.0,34.19,0
12,2026-01-31 19:42:10,3.63,7.0,34.19,0
13,2026-01-31 19:42:10,3.63,7.0,34.19,0
14,2026-01-31 19:42:10,3.63,7.0,34.19,0
15,2026-01-31 19:42:10,3.63,7.0,34.31,0
16,2026-01-31 19:42:10,3.63,7.0,34.31,0
17,2026-01-31 19:42:10,3.63,7.0,34.31,0
18,2026-01-31 19:42:10,3.63,7.0,34.31,0
19,2026-01-31 19:42:10,3.63,7.0,34.31,0
20,2026-01-31 19:42:10,3.63,7.0,34.31,0
21,2026-01-31 19:42:10,3.63,7.0,34.31,0
22,2026-01-31 19:42:10,3.63,7.0,34.31,0
23,2026-01-31 19:42:10,3.63,7.0,34.31,0
24,2026-01-31 19:42:10,3.63,7.0,34.31,0
25,2026-01-31 19:42:10,3.63,7.0,34.31,0
26,2026-01-31 19:42:11,3.63,7.0,34.31,0
27,2026-01-31 19:42:11,3.63,7.0,34.12,0
28,2026-01-31 19:42:11,3.63,7.0,34.12,0
29,2026-01-31 19:42:11,3.63,7.0,34.12,0
30,2026-01-31 19:42:11,3.63,7.0,34.12,0
31,2026-01-31 19:42:11,3.63,7.0,34.12,0
32,2026-01-31 19:42:11,3.63,7.0,34.12,0
33,2026-01-31 19:42:11,3.63,7.0,34.25,0
34,2026-01-31 19:42:11,3.63,7.0,34.25,0
35,2026-01-31 19:42:11,3.63,7.0,34.25,0
36,2026-01-31 19:42:11,3.63,7.0,34.25,0
37,2026-01-31 19:42:11,3.63,7.0,34.25,0
38,2026-01-31 19:42:11,3.63,7.0,34.25,0
39,2026-01-31 19:42:11,3.63,7.0,34.50,0
40,2026-01-31 19:42:11,3.63,7.0,34.50,0
41,2026-01-31 19:42:11,3.63,7.0,34.50,0
42,2026-01-31 19:42:11,3.63,7.0,34.50,0
43,2026-01-31 19:42:11,3.63,7.0,34.50,0
44,2026-01-31 19:42:11,3.63,7.0,34.50,0
45,2026-01-31 19:42:11,3.63,7.0,34.31,0
46,2026-01-31 19:42:11,3.63,7.0,34.31,0
47,2026-01-31 19:42:11,3.63,7.0,34.31,0
48,2026-01-31 19:42:11,3.63,7.0,34.31,0
49,2026-01-31 19:42:11,3.63,7.0,34.31,0
50,2026-01-31 19:42:11,3.63,7.0,34.31,0
51,2026-01-31 19:42:11,3.63,7.0,34.31,0
52,2026-01-31 19:42:12,3.63,7.0,34.31,0
53,2026-01-31 19:42:12,3.63,7.0,34.31,0
54,2026-01-31 19:42:12,3.63,7.0,34.31,0
55,2026-01-31 19:42:12,3.63,7.0,34.31,0
56,2026-01-31 19:42:12,3.63,7.0,34.31,0
57,2026-01-31 19:42:12,3.63,7.0,34.31,0
58,2026-01-31 19:42:12,3.63,7.0,34.31,0
59,2026-01-31 19:42:12,3.63,7.0,34.31,0
60,2026-01-31 19:42:12,3.63,7.0,34.31,0
61,2026-01-31 19:42:12,3.63,7.0,34.31,0
62,2026-01-31 19:42:12,3.63,7.0,34.31,0
63,2026-01-31 19:42:12,3.63,7.0,34.38,0
64,2026-01-31 19:42:12,3.63,7.0,34.38,0
65,2026-01-31 19:42:12,3.63,7.0,34.38,0
66,2026-01-31 19:42:12,3.63,7.0,34.38,0
67,2026-01-31 19:42:12,3.63,7.0,34.38,0
68,2026-01-31 19:42:12,3.63,7.0,34.38,0
69,2026-01-31 19:42:12,3.63,7.0,34.12,0
70,2026-01-31 19:42:12,3.63,7.0,34.12,0
71,2026-01-31 19:42:12,3.63,7.0,34.12,0
72,2026-01-31 19:42:12,3.63,7.0,34.12,0
73,2026-01-31 19:42:12,3.63,7.0,34.12,0
74,2026-01-31 19:42:12,3.63,7.0,34.12,0
75,2026-01-31 19:42:12,3.63,7.0,34.38,0
76,2026-01-31 19:42:12,3.63,7.0,34.38,0
77,2026-01-31 19:42:13,3.63,7.0,34.38,0
78,2026-01-31 19:42:13,3.63,7.0,34.38,0
79,2026-01-31 19:42:13,3.63,7.0,34.38,0
80,2026-01-31 19:42:13,3.63,7.0,34.38,0
81,2026-01-31 19:42:13,3.63,7.0,34.31,0
82,2026-01-31 19:42:13,3.63,7.0,34.31,0
83,2026-01-31 19:42:13,3.63,7.0,34.31,0
84,2026-01-31 19:42:13,3.63,7.0,34.31,0
85,2026-01-31 19:42:13,3.63,7.0,34.31,0
86,2026-01-31 19:42:13,3.63,7.0,34.31,0
87,2026-01-31 19:42:13,3.63,7.0,34.25,0
88,2026-01-31 19:42:13,3.63,7.0,34.25,0
89,2026-01-31 19:42:13,3.63,7.0,34.25,0
90,2026-01-31 19:42:13,3.63,7.0,34.25,0
91,2026-01-31 19:42:13,3.63,7.0,34.25,0
92,2026-01-31 19:42:13,3.63,7.0,34.25,0
93,2026-01-31 19:42:13,3.63,7.0,34.31,0
94,2026-01-31 19:42:13,3.63,7.0,34.31,0
95,2026-01-31 19:42:13,3.63,7.0,34.31,0
96,2026-01-31 19:42:13,3.63,7.0,34.31,0
97,2026-01-31 19:42:13,3.63,7.0,34.31,0
98,2026-01-31 19:42:13,3.63,7.0,34.31,0
99,2026-01-31 19:42:13,3.63,7.0,34.19,0
100,2026-01-31 19:42:13,3.63,7.0,34.19,0
101,2026-01-31 19:42:14,3.63,7.0,34.19,0
102,2026-01-31 19:42:14,3.63,7.0,34.19,0
103,2026-01-31 19:42:14,3.63,7.0,34.19,0
104,2026-01-31 19:42:14,3.63,7.0,34.19,0
105,2026-01-31 19:42:14,3.63,7.0,34.38,0
106,2026-01-31 19:42:14,3.63,7.0,34.38,0
107,2026-01-31 19:42:14,3.63,7.0,34.38,0
108,2026-01-31 19:42:14,3.63,7.0,34.38,0
109,2026-01-31 19:42:14,3.63,7.0,34.38,0
110,2026-01-31 19:42:14,3.63,7.0,34.38,0
111,2026-01-31 19:42:14,3.63,7.0,34.38,0
112,2026-01-31 19:42:14,3.63,7.0,34.38,0
113,2026-01-31 19:42:14,3.63,7.0,34.38,0
114,2026-01-31 19:42:14,3.63,7.0,34.38,0
115,2026-01-31 19:42:14,3.63,7.0,34.38,0
116,2026-01-31 19:42:14,3.63,7.0,34.38,0
117,2026-01-31 19:42:14,3.63,7.0,34.12,0
118,2026-01-31 19:42:14,3.63,7.0,34.12,0
119,2026-01-31 19:42:14,3.63,7.0,34.12,0
120,2026-01-31 19:42:14,3.63,7.0,34.12,0
121,2026-01-31 19:42:14,3.63,7.0,34.12,0
122,2026-01-31 19:42:14,3.63,7.0,34.12,0
123,2026-01-31 19:42:14,3.63,7.0,34.38,0
124,2026-01-31 19:42:14,3.63,7.0,34.38,0
125,2026-01-31 19:42:14,3.63,7.0,34.38,0
126,2026-01-31 19:42:14,3.63,7.0,34.38,0
127,2026-01-31 19:42:15,3.63,7.0,34.38,0
128,2026-01-31 19:42:15,3.63,7.0,34.38,0
129,2026-01-31 19:42:15,3.63,7.0,34.38,0
130,2026-01-31 19:42:15,3.63,7.0,34.38,0
131,2026-01-31 19:42:15,3.63,7.0,34.38,0
132,2026-01-31 19:42:15,3.63,7.0,34.38,0
133,2026-01-31 19:42:15,3.63,7.0,34.38,0
134,2026-01-31 19:42:15,3.63,7.0,34.38,0
135,2026-01-31 19:42:15,3.63,7.0,34.38,0
136,2026-01-31 19:42:15,3.63,7.0,34.38,0
137,2026-01-31 19:42:15,3.63,7.0,34.38,0
138,2026-01-31 19:42:15,3.63,7.0,34.38,0
139,2026-01-31 19:42:15,3.63,7.0,34.38,0
140,2026-01-31 19:42:15,3.63,7.0,34.38,0
141,2026-01-31 19:42:15,3.63,7.0,34.44,0
142,2026-01-31 19:42:15,3.63,7.0,34.44,0
143,2026-01-31 19:42:15,3.63,7.0,34.44,0
144,2026-01-31 19:42:15,3.63,7.0,34.44,0
145,2026-01-31 19:42:15,3.63,7.0,34.44,0
146,2026-01-31 19:42:15,3.63,7.0,34.44,0
147,2026-01-31 19:42:15,3.63,7.0,34.25,0
148,2026-01-31 19:42:15,3.63,7.0,34.25,0
149,2026-01-31 19:42:15,3.63,7.0,34.25,0
150,2026-01-31 19:42:15,3.63,7.0,34.25,0
151,2026-01-31 19:42:15,3.63,7.0,34.25,0
152,2026-01-31 19:42:16,3.63,7.0,34.25,0
153,2026-01-31 19:42:16,3.63,7.0,34.38,0
154,2026-01-31 19:42:16,3.63,7.0,34.38,0
155,2026-01-31 19:42:16,3.63,7.0,34.38,0
156,2026-01-31 19:42:16,3.63,7.0,34.38,0
157,2026-01-31 19:42:16,3.63,7.0,34.38,0
158,2026-01-31 19:42:16,3.63,7.0,34.38,0
159,2026-01-31 19:42:16,3.63,7.0,34.31,0
160,2026-01-31 19:42:16,3.63,7.0,34.31,0
161,2026-01-31 19:42:16,3.63,7.0,34.31,0
162,2026-01-31 19:42:16,3.63,7.0,34.31,0
163,2026-01-31 19:42:16,3.63,7.0,34.31,0
164,2026-01-31 19:42:16,3.63,7.0,34.31,0
165,2026-01-31 19:42:16,3.63,7.0,34.31,0
166,2026-01-31 19:42:16,3.63,7.0,34.31,0
167,2026-01-31 19:42:16,3.63,7.0,34.31,0
168,2026-01-31 19:42:16,3.63,7.0,34.31,0
169,2026-01-31 19:42:16,3.63,7.0,34.31,0
170,2026-01-31 19:42:16,3.63,7.0,34.31,0
171,2026-01-31 19:42:16,3.63,7.0,34.44,0
172,2026-01-31 19:42:16,3.63,7.0,34.44,0
173,2026-01-31 19:42:16,3.63,7.0,34.44,0
174,2026-01-31 19:42:16,3.63,7.0,34.44,0
175,2026-01-31 19:42:16,3.63,7.0,34.44,0
176,2026-01-31 19:42:17,3.63,7.0,34.44,0
177,2026-01-31 19:42:17,3.63,7.0,34.31,0
178,2026-01-31 19:42:17,3.63,7.0,34.31,0
179,2026-01-31 19:42:17,3.63,7.0,34.31,0
180,2026-01-31 19:42:17,3.63,7.0,34.31,0
181,2026-01-31 19:42:17,3.63,7.0,34.31,0
182,2026-01-31 19:42:17,3.63,7.0,34.31,0
183,2026-01-31 19:42:17,3.63,7.0,34.44,0
184,2026-01-31 19:42:17,3.63,7.0,34.44,0
185,2026-01-31 19:42:17,3.63,7.0,34.44,0
186,2026-01-31 19:42:17,3.63,7.0,34.44,0
187,2026-01-31 19:42:17,3.63,7.0,34.44,0
188,2026-01-31 19:42:17,3.63,7.0,34.44,0
189,2026-01-31 19:42:17,3.63,7.0,34.44,0
190,2026-01-31 19:42:17,3.63,7.0,34.44,0
191,2026-01-31 19:42:17,3.63,7.0,34.44,0
192,2026-01-31 19:42:17,3.63,7.0,34.44,0
193,2026-01-31 19:42:17,3.63,7.0,34.44,0
194,2026-01-31 19:42:17,3.63,7.0,34.44,0
195,2026-01-31 19:42:17,3.63,7.0,34.44,0
196,2026-01-31 19:42:17,3.63,7.0,34.44,0
197,2026-01-31 19:42:17,3.63,7.0,34.44,0
198,2026-01-31 19:42:17,3.63,7.0,34.44,0
199,2026-01-31 19:42:17,3.63,7.0,34.44,0
200,2026-01-31 19:42:17,3.63,7.0,34.44,0
201,2026-01-31 19:42:17,3.63,7.0,34.50,0
202,2026-01-31 19:42:18,3.63,7.0,34.50,0
203,2026-01-31 19:42:18,3.63,7.0,34.50,0
204,2026-01-31 19:42:18,3.63,7.0,34.50,0
205,2026-01-31 19:42:18,3.63,7.0,34.50,0
206,2026-01-31 19:42:18,3.63,7.0,34.50,0
207,2026-01-31 19:42:18,3.63,7.0,34.44,0
208,2026-01-31 19:42:18,3.63,7.0,34.44,0
209,2026-01-31 19:42:18,3.63,7.0,34.44,0
210,2026-01-31 19:42:18,3.63,7.0,34.44,0
211,2026-01-31 19:42:18,3.63,7.0,34.44,0
212,2026-01-31 19:42:18,3.63,7.0,34.44,0
213,2026-01-31 19:42:18,3.63,7.0,34.50,0
214,2026-01-31 19:42:18,3.63,7.0,34.50,0
215,2026-01-31 19:42:18,3.63,7.0,34.50,0
216,2026-01-31 19:42:18,3.63,7.0,34.50,0
217,2026-01-31 19:42:18,3.63,7.0,34.50,0
218,2026-01-31 19:42:18,3.63,7.0,34.50,0
219,2026-01-31 19:42:18,3.63,7.0,34.56,0
220,2026-01-31 19:42:18,3.63,7.0,34.56,0
221,2026-01-31 19:42:18,3.63,7.0,34.56,0
222,2026-01-31 19:42:18,3.63,7.0,34.56,0
223,2026-01-31 19:42:18,3.63,7.0,34.56,0
224,2026-01-31 19:42:18,3.63,7.0,34.56,0
225,2026-01-31 19:42:18,3.63,7.0,34.44,0
226,2026-01-31 19:42:18,3.63,7.0,34.44,0
227,2026-01-31 19:42:19,3.63,7.0,34.44,0
228,2026-01-31 19:42:19,3.63,7.0,34.44,0
229,2026-01-31 19:42:19,3.63,7.0,34.44,0
230,2026-01-31 19:42:19,3.63,7.0,34.44,0
231,2026-01-31 19:42:19,3.63,7.0,34.50,0
232,2026-01-31 19:42:19,3.63,7.0,34.50,0
233,2026-01-31 19:42:19,3.63,7.0,34.50,0
234,2026-01-31 19:42:19,3.63,7.0,34.50,0
235,2026-01-31 19:42:19,3.63,7.0,34.50,0
236,2026-01-31 19:42:19,3.63,7.0,34.50,0
237,2026-01-31 19:42:19,3.63,7.0,34.50,0
